Entity,Code,Year,Coal consumption - TWh
Non-OECD (EI),,1976,8483.516
Non-OECD (EI),,1977,8903.102
Non-OECD (EI),,1978,9192.643
Non-OECD (EI),,1979,9468.685
Non-OECD (EI),,1980,9581.238
Non-OECD (EI),,1981,9751.692
Non-OECD (EI),,1982,10128.74
Non-OECD (EI),,1983,10564.208
Non-OECD (EI),,1984,11031.754
Non-OECD (EI),,1985,11511.137
Non-OECD (EI),,1986,11937.093
Non-OECD (EI),,1987,12558.147
Non-OECD (EI),,1988,13061.051
Non-OECD (EI),,1989,13215.724
Non-OECD (EI),,1990,13242.273
Non-OECD (EI),,1991,13262.132
Non-OECD (EI),,1992,13468.81
Non-OECD (EI),,1993,13663.498
Non-OECD (EI),,1994,13762.685
Non-OECD (EI),,1995,13876.161
Non-OECD (EI),,1996,14118.455
Non-OECD (EI),,1997,13969.656
Non-OECD (EI),,1998,13873.132
Non-OECD (EI),,1999,14104.009
Non-OECD (EI),,2000,14528.453
Non-OECD (EI),,2001,15107.959
Non-OECD (EI),,2002,16039.981
Non-OECD (EI),,2003,18282.018
Non-OECD (EI),,2004,20403.482
Non-OECD (EI),,2005,22811.014
Non-OECD (EI),,2006,24583.525
Non-OECD (EI),,2007,26532.941
Non-OECD (EI),,2008,27325.297
Non-OECD (EI),,2009,28105.807
Non-OECD (EI),,2010,29165.133
Non-OECD (EI),,2011,31372.096
Non-OECD (EI),,2012,32002.826
Non-OECD (EI),,2013,32545.152
Non-OECD (EI),,2014,32927.19
Non-OECD (EI),,2015,32485.9
Non-OECD (EI),,2016,32159.658
Non-OECD (EI),,2017,32652.326
Non-OECD (EI),,2018,33686.79
Non-OECD (EI),,2019,34570.16
Non-OECD (EI),,2020,34573.11
Non-OECD (EI),,2021,36247.62
Non-OECD (EI),,2022,36826.438
North America,,1965,3412.8337
North America,,1966,3566.435
North America,,1967,3502.8997
North America,,1968,3634.5938
North America,,1969,3642.3462
North America,,1970,3624.5098
North America,,1971,3432.4197
North America,,1972,3556.7488
North America,,1973,3812.2861
North America,,1974,3731.2556
North America,,1975,3729.3574
North America,,1976,4013.345
North America,,1977,4174.8345
North America,,1978,4084.0315
North America,,1979,4426.2812
North America,,1980,4579.549
North America,,1981,4716.7783
North America,,1982,4573.802
North America,,1983,4751.3354
North America,,1984,5111.611
North America,,1985,5217.145
North America,,1986,5136.4907
North America,,1987,5366.754
North America,,1988,5620.6733
North America,,1989,5685.6475
North America,,1990,5696.6265
North America,,1991,5635.0215
North America,,1992,5677.2573
North America,,1993,5845.8174
North America,,1994,5891.264
North America,,1995,5960.4844
North America,,1996,6229.24
North America,,1997,6367.0786
North America,,1998,6449.968
North America,,1999,6428.9097
North America,,2000,6721.992
North America,,2001,6558.929
North America,,2002,6622.44
North America,,2003,6704.6772
North America,,2004,6730.0005
North America,,2005,6845.5547
North America,,2006,6751.0225
North America,,2007,6841.3584
North America,,2008,6707.564
North America,,2009,5903.345
North America,,2010,6254.897
North America,,2011,5924.9927
North America,,2012,5252.8115
North America,,2013,5431.861
North America,,2014,5410.1416
North America,,2015,4727.9634
North America,,2016,4340.8594
North America,,2017,4271.402
North America,,2018,4050.202
North America,,2019,3500.8904
North America,,2020,2811.974
North America,,2021,3170.262
North America,,2022,2958.2944
North America (EI),,1965,3412.2522
North America (EI),,1966,3565.8533
North America (EI),,1967,3502.3184
North America (EI),,1968,3634.0125
North America (EI),,1969,3641.7644
North America (EI),,1970,3624.0444
North America (EI),,1971,3432.0361
North America (EI),,1972,3556.365
North America (EI),,1973,3811.9607
North America (EI),,1974,3730.9067
North America (EI),,1975,3728.9246
North America (EI),,1976,4012.996
North America (EI),,1977,4174.183
North America (EI),,1978,4083.3804
North America (EI),,1979,4425.7344
North America (EI),,1980,4578.909
North America (EI),,1981,4716.15
North America (EI),,1982,4572.662
North America (EI),,1983,4748.99
North America (EI),,1984,5109.708
North America (EI),,1985,5213.4126
North America (EI),,1986,5133.5396
North America (EI),,1987,5362.125
North America (EI),,1988,5616.3125
North America (EI),,1989,5681.647
North America (EI),,1990,5692.842
North America (EI),,1991,5631.064
North America (EI),,1992,5673.6226
North America (EI),,1993,5842.0547
North America (EI),,1994,5888.4307
North America (EI),,1995,5957.5454
North America (EI),,1996,6226.627
North America (EI),,1997,6364.2783
North America (EI),,1998,6446.902
North America (EI),,1999,6425.333
North America (EI),,2000,6717.9116
North America (EI),,2001,6554.1123
North America (EI),,2002,6609.831
North America (EI),,2003,6688.213
North America (EI),,2004,6710.556
North America (EI),,2005,6828.7314
North America (EI),,2006,6730.314
North America (EI),,2007,6818.203
North America (EI),,2008,6685.83
North America (EI),,2009,5882.201
North America (EI),,2010,6235.6455
North America (EI),,2011,5903.124
North America (EI),,2012,5233.08
North America (EI),,2013,5409.835
North America (EI),,2014,5386.394
North America (EI),,2015,4705.687
North America (EI),,2016,4318.472
North America (EI),,2017,4250.95
North America (EI),,2018,4028.7266
North America (EI),,2019,3471.0535
North America (EI),,2020,2771.0774
North America (EI),,2021,3130.1758
North America (EI),,2022,2918.2441
North Macedonia,MKD,1990,15.466761
North Macedonia,MKD,1991,15.533597
North Macedonia,MKD,1992,15.442488
North Macedonia,MKD,1993,15.519188
North Macedonia,MKD,1994,16.120728
North Macedonia,MKD,1995,16.627272
North Macedonia,MKD,1996,16.087616
North Macedonia,MKD,1997,15.046835
North Macedonia,MKD,1998,19.455256
North Macedonia,MKD,1999,16.96689
North Macedonia,MKD,2000,15.544994
North Macedonia,MKD,2001,17.187988
North Macedonia,MKD,2002,14.942584
North Macedonia,MKD,2003,17.205456
North Macedonia,MKD,2004,16.350151
North Macedonia,MKD,2005,16.966042
North Macedonia,MKD,2006,16.486874
North Macedonia,MKD,2007,16.917696
North Macedonia,MKD,2008,17.337875
North Macedonia,MKD,2009,15.550031
North Macedonia,MKD,2010,15.057268
North Macedonia,MKD,2011,17.196571
North Macedonia,MKD,2012,16.186949
North Macedonia,MKD,2013,13.540367
North Macedonia,MKD,2014,12.5287895
North Macedonia,MKD,2015,11.296521
North Macedonia,MKD,2016,10.188275
North Macedonia,MKD,2017,11.13589
North Macedonia,MKD,2018,10.049073
North Macedonia,MKD,2019,11.909485
North Macedonia,MKD,2020,8.174519
North Macedonia,MKD,2021,7.0944376
North Macedonia,MKD,2022,8.317619
Norway,NOR,1965,8.877423
Norway,NOR,1966,8.17368
Norway,NOR,1967,8.581207
Norway,NOR,1968,8.734723
Norway,NOR,1969,9.731425
Norway,NOR,1970,9.94044
Norway,NOR,1971,9.348031
Norway,NOR,1972,10.149791
Norway,NOR,1973,10.911312
Norway,NOR,1974,12.097107
Norway,NOR,1975,11.502116
Norway,NOR,1976,11.097845
Norway,NOR,1977,9.555488
Norway,NOR,1978,9.847889
Norway,NOR,1979,12.263672
Norway,NOR,1980,11.352112
Norway,NOR,1981,11.372373
Norway,NOR,1982,10.937642
Norway,NOR,1983,11.652189
Norway,NOR,1984,13.066398
Norway,NOR,1985,13.013132
Norway,NOR,1986,11.597307
Norway,NOR,1987,11.20419
Norway,NOR,1988,11.501965
Norway,NOR,1989,10.077325
Norway,NOR,1990,9.437522
Norway,NOR,1991,8.399316
Norway,NOR,1992,8.438346
Norway,NOR,1993,9.125279
Norway,NOR,1994,10.288382
Norway,NOR,1995,11.232914
Norway,NOR,1996,11.170465
Norway,NOR,1997,11.084599
Norway,NOR,1998,12.029132
Norway,NOR,1999,11.271945
Norway,NOR,2000,11.5451565
Norway,NOR,2001,10.288382
Norway,NOR,2002,8.922321
Norway,NOR,2003,8.711558
Norway,NOR,2004,9.83563
Norway,NOR,2005,8.399316
Norway,NOR,2006,7.2049894
Norway,NOR,2007,7.9231462
Norway,NOR,2008,8.165134
Norway,NOR,2009,6.4999995
Norway,NOR,2010,8.861111
Norway,NOR,2011,9.833333
Norway,NOR,2012,9.527778
Norway,NOR,2013,9.027778
Norway,NOR,2014,9.888888
Norway,NOR,2015,8.862735
Norway,NOR,2016,9.100231
Norway,NOR,2017,9.513363
Norway,NOR,2018,9.290532
Norway,NOR,2019,9.07454
Norway,NOR,2020,8.976604
Norway,NOR,2021,9.790111
Norway,NOR,2022,9.335043
OECD (EI),,1965,10163.524
OECD (EI),,1966,10118.507
OECD (EI),,1967,9929.298
OECD (EI),,1968,10150.809
OECD (EI),,1969,10282.948
OECD (EI),,1970,10132.295
OECD (EI),,1971,9610.424
OECD (EI),,1972,9540.203
OECD (EI),,1973,9929.406
OECD (EI),,1974,9850.284
OECD (EI),,1975,9672.34
OECD (EI),,1976,10204.969
OECD (EI),,1977,10338.2
OECD (EI),,1978,10265.262
OECD (EI),,1979,10894.854
OECD (EI),,1980,11276.371
OECD (EI),,1981,11397.987
OECD (EI),,1982,11256.71
OECD (EI),,1983,11482.136
OECD (EI),,1984,11969.324
OECD (EI),,1985,12476.69
OECD (EI),,1986,12320.941
OECD (EI),,1987,12654.276
OECD (EI),,1988,12906.077
OECD (EI),,1989,12999.951
OECD (EI),,1990,12664.354
OECD (EI),,1991,12396.05
OECD (EI),,1992,12089.611
OECD (EI),,1993,12025.435
OECD (EI),,1994,12026.243
OECD (EI),,1995,12090.196
OECD (EI),,1996,12466.534
OECD (EI),,1997,12570.483
OECD (EI),,1998,12499.348
OECD (EI),,1999,12381.362
OECD (EI),,2000,12906.174
OECD (EI),,2001,12756.987
OECD (EI),,2002,12922.969
OECD (EI),,2003,13224.144
OECD (EI),,2004,13282.038
OECD (EI),,2005,13372.333
OECD (EI),,2006,13485.344
OECD (EI),,2007,13698.298
OECD (EI),,2008,13454.78
OECD (EI),,2009,12038.391
OECD (EI),,2010,12772.346
OECD (EI),,2011,12523.84
OECD (EI),,2012,12019.703
OECD (EI),,2013,12125.474
OECD (EI),,2014,11930.932
OECD (EI),,2015,11183.926
OECD (EI),,2016,10555.48
OECD (EI),,2017,10477.543
OECD (EI),,2018,10108.61
OECD (EI),,2019,8964.452
OECD (EI),,2020,7660.278
OECD (EI),,2021,8317.193
OECD (EI),,2022,8027.5977
Oceania,,1965,221.15912
Oceania,,1966,227.99687
Oceania,,1967,232.24142
Oceania,,1968,237.6857
Oceania,,1969,245.67607
Oceania,,1970,248.10437
Oceania,,1971,247.1651
Oceania,,1972,257.88672
Oceania,,1973,269.931
Oceania,,1974,281.51398
Oceania,,1975,288.95828
Oceania,,1976,298.70834
Oceania,,1977,310.29172
Oceania,,1978,316.7222
Oceania,,1979,328.79166
Oceania,,1980,338.39212
Oceania,,1981,346.71683
Oceania,,1982,349.9911
Oceania,,1983,351.3043
Oceania,,1984,369.61993
Oceania,,1985,380.8049
Oceania,,1986,392.04297
Oceania,,1987,405.511
Oceania,,1988,426.92984
Oceania,,1989,448.2926
Oceania,,1990,458.2755
Oceania,,1991,466.54443
